N,Iteracoes
172,24172
172,26034
172,27812
173,27707
173,26026
173,27074
173,34620
173,28109
173,21677
173,24217
173,30950
173,25440
173,25632
174,32510
174,24124
174,36593
174,26743
174,35109
174,34103
174,26934
174,33565
174,22562
174,29237
175,53764
175,24246
175,27576
175,37517
175,33720
175,26527
175,29225
175,24128
175,26783
175,29167
176,25402
176,38577
176,25556
176,49424
176,23304
176,28728
176,27564
176,24577
176,48711
176,28204
177,28400
177,30486
177,26768
177,22829
177,28200
177,29852
177,28073
177,31067
177,29040
177,32177
178,69647
178,21450
178,23903
178,25362
178,33407
178,30770
178,27385
178,30713
178,32052
178,48247
179,26744
179,46367
179,28023
179,28064
179,25302
179,31763
179,35164
179,22380
179,27547
179,33165
180,25448
180,25831
180,23451
180,29120
180,30057
180,84829
180,28574
180,31284
180,44800
180,34857
181,32015
181,88876
181,25581
181,24932
181,35368
181,24137
181,36471
181,26900
181,36588
181,36715
182,25760
182,34855
182,24586
182,28739
182,29109
182,23776
182,42508
182,31963
182,39832
182,29473
183,32787
183,25680
183,24659
183,27383
183,24385
183,25656
183,27231
183,30442
183,29808
183,40241
184,36982
184,23136
184,30086
184,33088
184,30182
184,24739
184,42122
184,26735
184,66935
184,27952
185,26541
185,31772
185,24638
185,33956
185,37595
185,36824
185,28428
185,48706
185,40526
185,25264
186,37025
186,48604
186,25579
186,37823
186,30198
186,55502
186,26429
186,32527
186,27143
186,27590
187,26085
187,29136
187,28589
187,35807
187,30194
187,50076
187,42552
187,30568
187,38366
187,102849
188,30285
188,31800
188,26287
188,29472
188,31582
188,28562
188,28183
188,75550
188,32246
188,32842
189,26186
189,27480
189,30308
189,37375
189,35972
189,27296
189,36297
189,52345
189,27488
189,70851
190,31375
190,37421
190,31030
190,48588
190,47184
190,29901
190,30934
190,35641
190,26202
190,33246
191,28772
191,32903
191,24354
191,31655
191,33806
191,28776
191,25821
191,29232
191,27816
191,27591
192,34197
192,43603
192,29134
192,54887
192,46390
192,63234
192,27863
192,35137
192,33424
192,31953
193,44005
193,34934
193,40582
193,32571
193,40466
193,27622
193,32130
193,60197
193,27979
193,28094
194,33079
194,41014
194,30612
194,40039
194,33469
194,30642
194,61067
194,33415
194,30061
194,30142
195,29671
195,45749
195,39152
195,41998
195,39589
195,39079
195,40581
195,29701
195,35017
195,31585
196,32852
196,32381
196,34021
196,32563
196,28401
196,35875
196,67245
196,46549
196,35613
196,34929
197,31255
197,36300
197,48450
197,41384
197,31711
197,35714
197,44509
197,34928
197,39503
197,38583
198,55347
198,28811
198,87751
198,68522
198,34986
198,30862
198,27507
198,31638
198,77833
198,33174
199,46077
199,36944
199,35798
199,36002
199,33316
199,26493
199,40010
199,56781
199,40354
199,33621
200,39244
200,40190
200,40439
200,32641
200,30805
200,41736
200,30090
200,32817
200,29938
200,46181
201,35966
201,44053
201,40027
201,57404
201,57755
201,44573
201,37853
201,40390
201,52828
201,32148
202,53053
202,88548
202,34233
202,55921
202,33917
202,39475
202,32511
202,31950
202,36069
202,33085
203,38204
203,26844
203,35149
203,34132
203,35613
203,42614
203,32643
203,37087
203,38104
203,50759
204,37871
204,30910
204,35910
204,33254
204,42494
204,47766
204,57952
204,38577
204,35389
204,43461
205,46883
205,34645
205,40788
205,30260
205,46603
205,32729
205,62116
205,35629
205,36157
205,42989
206,45316
206,36996
206,37871
206,38524
206,32447
206,37609
206,40947
206,52768
206,35205
206,32430
207,31926
207,135407
207,31125
207,53910
207,29779
207,38848
207,62315
207,31702
207,35840
207,34610
208,43028
208,35314
208,35032
208,34203
208,35280
208,51664
208,32926
208,53646
208,43426
208,38663
209,37104
209,38468
209,28659
209,36488
209,40458
209,32106
209,40887
209,40083
209,56469
209,33870
210,34904
210,56111
210,41155
210,55213
210,61805
210,64547
210,51403
210,45556
210,44074
210,45355
211,40128
211,38438
211,47496
211,32983
211,39540
211,40159
211,34297
211,57101
211,32892
211,57213
212,38634
212,39326
212,45228
212,34266
212,34007
212,33926
212,53851
212,41808
212,33341
212,38919
213,33095
213,32269
213,43824
213,35275
213,36373
213,42576
213,47063
213,36381
213,45733
213,52082
214,48267
214,46697
214,43041
214,62623
214,37918
214,104670
214,44650
214,57828
214,50915
214,42947
215,33794
215,40280
215,34983
215,49628
215,61402
215,38337
215,49138
215,31709
215,77683
215,38908
216,52984
216,40957
216,35031
216,279749
216,54293
216,67783
216,33994
216,38483
216,34304
216,39549
217,38462
217,40182
217,44478
217,132201
217,39266
217,70888
217,41231
217,39091
217,35193
217,65873
218,55481
218,56744
218,79032
218,37095
218,37612
218,43505
218,38142
218,40432
218,47018
218,32204
219,56441
219,60634
219,40990
219,41577
219,39493
219,78354
219,36632
219,37652
219,49715
219,39038
220,32952
220,42893
220,63872
220,32024
220,48088
220,42500
220,48584
220,107043
220,65002
220,92017
221,45226
221,67743
221,46906
221,38075
221,82426
221,62339
221,44052
221,34054
221,47381
221,37537
222,93589
222,41357
222,51341
222,88063
222,52705
222,43279
222,55362
222,37582
222,39425
222,34104
223,54454
223,103968
223,42934
223,58691
223,76049
223,34321
223,38693
223,39948
223,63271
223,79628
224,81804
224,64131
224,50545
224,42494
224,40142
224,45463
224,41724
224,39261
224,117897
224,46936
225,39857
225,44408
225,54475
225,37588
225,36415
225,59254
225,54415
225,39791
225,41140
225,43535
226,41872
226,45901
226,35751
226,42446
226,38673
226,46997
226,40552
226,47826
226,48937
226,46079
227,62659
227,44545
227,51923
227,42927
227,69025
227,44273
227,42952
227,34965
227,88471
227,47230
228,64820
228,68832
228,55748
228,39708
228,131376
228,55122
228,44350
228,74524
228,48818
228,59048
229,52243
229,56542
229,36455
229,57823
229,38169
229,39320
229,38434
229,40549
229,78470
229,49817
230,55770
230,38566
230,44170
230,38483
230,67649
230,75155
230,79988
230,54803
230,62323
230,40606
231,45261
231,60656
231,46197
231,40518
231,61609
231,54482
231,59851
231,42574
231,36702
231,99881
232,39527
232,38734
232,42116
232,45714
232,42930
232,49995
232,57349
232,50503
232,48172
232,68072
233,40940
233,46058
233,54872
233,60651
233,66107
233,37641
233,40870
233,57967
233,63487
233,45170
234,51294
234,61055
234,62072
234,46542
234,43616
234,196182
234,39838
234,52678
234,48853
234,41999
235,43641
235,58550
235,48688
235,49330
235,41883
235,51423
235,43086
235,52991
235,44716
235,80243
236,49130
236,38716
236,42802
236,55613
236,56413
236,99768
236,62831
236,58339
236,46318
236,39028
237,74172
237,82228
237,48507
237,47346
237,42334
237,48051
237,67986
237,44123
237,40619
237,44835
238,42487
238,57373
238,43119
238,46015
238,42382
238,44258
238,63521
238,63524
238,46846
238,50711
239,48202
239,45375
239,46484
239,70021
239,38975
239,47779
239,47231
239,63415
239,49609
239,49833
240,51126
240,40054
240,48782
240,56481
240,126795
240,51629
240,45592
240,58327
240,43868
240,61665
241,51920
241,52174
241,43996
241,57302
241,49994
241,46985
241,127373
241,53769
241,70583
241,53448
242,44214
242,95451
242,41350
242,56082
242,43100
242,51361
242,59115
242,47127
242,712337
242,95222
243,63717
243,47844
243,49407
243,46244
243,84720
243,54806
243,48561
243,46863
243,48002
243,53627
244,44364
244,119270
244,40351
244,108532
244,67369
244,45931
244,71016
244,49159
244,45607
244,45312
245,147411
245,62006
245,45800
245,54351
245,64819
245,40064
245,49154
245,51153
245,49872
245,65624
246,48490
246,55439
246,56214
246,44108
246,54104
246,54374
246,44793
246,50738
246,42076
246,83397
247,85517
247,56035
247,48002
247,47619
247,60301
247,66331
247,60421
247,49302
247,94981
247,55465
248,44540
248,62392
248,53429
248,59433
248,139268
248,49188
248,57173
248,43723
248,43982
248,79614
249,51137
249,48698
249,62803
249,57334
249,52700
249,45024
249,56164
249,60354
249,58905
249,44295
250,56703
250,47073
250,53656
250,51973
250,54505
250,50081
250,45248
250,60241
250,164546
250,83545
251,53665
251,57718
251,53939
251,56744
251,60383
251,51766
251,64784
251,45006
251,43631
251,46471
252,53924
252,51852
252,59395
252,43995
252,58208
252,70417
252,48909
252,52669
252,48645
252,92718
253,85175
253,46034
253,67129
253,45966
253,68375
253,60298
253,48964
253,62387
253,55419
253,110920
254,46419
254,51253
254,53638
254,62430
254,73483
254,58868
254,47500
254,59422
254,47006
254,73865
255,56681
255,51202
255,48051
255,50585
255,66470
255,69422
255,59438
255,52132
255,58906
255,46183
256,61627
256,64475
256,73705
256,176400
256,67380
256,50967
256,64554
256,77699
256,52187
256,86624
257,95310
257,65888
257,71402
257,45968
257,49950
257,51390
257,71290
257,61463
257,51599
257,58764
258,72769
258,59845
258,65579
258,76066
258,83464
258,56791
258,67937
258,57845
258,96915
258,52602
259,53301
259,53407
259,91722
259,52953
259,93730
259,54114
259,49685
259,50563
259,53511
259,78771
260,102065
260,122575
260,60247
260,58819
260,140888
260,54093
260,61664
260,47199
260,47579
260,71754
261,49649
261,141300
261,51015
261,49178
261,61048
261,77011
261,156940
261,99468
261,65123
261,81964
262,48220
262,79242
262,66773
262,52941
262,53311
262,52825
262,69368
262,61417
262,55714
262,60786
263,71330
263,67956
263,56164
263,75294
263,56462
263,63242
263,82798
263,59989
263,66618
263,58113
264,61100
264,105019
264,53957
264,64591
264,55672
264,52621
264,51015
264,50466
264,56314
264,122836
265,71597
265,56033
265,110359
265,99226
265,85125
265,66055
265,67726
265,78676
265,68833
265,64376
266,58333
266,59056
266,56184
266,54415
266,54023
266,53751
266,65566
266,55046
266,59797
266,53857
267,81459
267,52577
267,77878
267,156207
267,50053
267,58858
267,55695
267,58508
267,55520
267,56970
268,56747
268,88732
268,61579
268,51765
268,53633
268,61167
268,71656
268,76502
268,87280
268,55989
269,58215
269,94449
269,69828
269,70757
269,64324
269,57394
269,63109
269,53338
269,61710
269,59734
270,73869
270,57092
270,64084
270,74483
270,54810
270,102062
270,51833
270,56094
270,62917
270,67132
271,66755
271,54957
271,59044
271,53826
271,95683
271,92524
271,84230
271,84762
271,67733
271,53036
272,56138
272,61674
272,72857
272,55339
272,58280
272,75751
272,67829
272,85072
272,59424
272,53127
273,52977
273,67591
273,71610
273,54622
273,80607
273,73758
273,62910
273,54401
273,55999
273,70142
274,132704
274,70242
274,52801
274,59615
274,92784
274,61451
274,68487
274,65516
274,55265
274,58074
275,60388
275,80542
275,54721
275,80276
275,56307
275,89263
275,60976
275,66996
275,59329
275,55857
276,108663
276,57805
276,58418
276,53712
276,71097
276,63565
276,58243
276,237353
276,83302
276,61654
277,131514
277,55017
277,60987
277,91256
277,106544
277,63327
277,58625
277,80040
277,63391
277,76976
278,61605
278,54305
278,59922
278,61001
278,131259
278,58467
278,54122
278,82399
278,57452
278,54383
279,61389
279,54678
279,111364
279,82798
279,60434
279,56718
279,50809
279,53821
279,87653
279,61453
280,91880
280,60089
280,88789
280,66844
280,57488
280,67068
280,59848
280,67505
280,59140
280,93738
281,74221
281,64841
281,285192
281,75819
281,71975
281,196044
281,62311
281,74585
281,121714
281,133664
282,59079
282,58003
282,80116
282,58733
282,63387
282,200639
282,170292
282,53682
282,58332
282,96500
283,85035
283,90026
283,61089
283,55463
283,54154
283,73026
283,62517
283,75904
283,59636
283,63918
284,73142
284,74900
284,95163
284,96291
284,115399
284,57405
284,57573
284,63783
284,71027
284,88010
285,67286
285,60294
285,67265
285,89229
285,71228
285,88007
285,55808
285,70125
285,54280
285,65748
286,105461
286,66231
286,68182
286,125632
286,111434
286,61701
286,64626
286,62856
286,57249
286,60856
287,72363
